Demo,What it measures,SHAP result,DML result,Winner
1. Placebo Test,p-value: is placebo ATE = 0? (high p = correct),p=0.000 (rejects zero — spurious ✗),p=0.169 (cannot reject zero — correct ✓),DML
2. Confounding Bias,|estimated - true| under confounding,bias=0.0902,bias=0.0554,DML
3. HTE Recovery,Rank correlation with true sensitivity,rho=0.0874,rho=0.3302,DML
4. Stability,Mean |ATE - true_ATE| across 15 seeds,error=0.0785 (stably wrong),error=0.0458  (stably right),DML
